id,longitude,latitude,walk_subway(m),walk_bus(m),car_airport(m)
77765,-73.95366,40.73777,865,192.0,11479.0
79067,-73.96253,40.68337,378,208.0,15226.0
80493,-73.9854593,40.7226132,458,76.0,14794.0
208889,-73.93212,40.69049,585,149.0,13032.0
209310,-73.9248046875,40.73933410644531,706,144.0,8740.0
274743,-73.95128,40.77549,405,114.0,12976.0
276021,-73.9657,40.70937,728,172.0,12811.0
276317,-73.97205,40.67782,101,93.0,16430.0
277883,-73.95389,40.6556,446,80.0,23837.0
253803,-73.9535,40.73756,855,182.0,11490.0
253806,-73.9535,40.73756,855,182.0,11490.0
253811,-73.9535,40.73756,855,182.0,11490.0
253846,-73.9535,40.73756,855,182.0,11490.0
255476,-73.95338679325236,40.71134819720268,309,93.0,11586.0
255601,-73.95018,40.69101,393,250.0,14711.0
82638,-73.98154,40.72408,969,271.0,14892.0
82928,-73.94469,40.68433,767,69.0,14402.0
83243,-73.91788,40.68769,226,74.0,19525.0
83474,-73.98573,40.69132,143,75.0,15924.0
281851,-73.95232,40.8078,401,138.0,11083.0
286662,-73.95556,40.67223,371,90.0,16093.0
287408,-73.99361,40.76198,827,30.0,15890.0
287845,-73.995,40.67933,129,36.0,18258.0
84010,-73.95366,40.73777,865,192.0,11479.0
89427,-73.96648,40.68513,217,221.0,14789.0
400078,-73.94403,40.69407,560,103.0,13011.0
255957,-73.99462,40.72032,71,60.0,14919.0
257097,-73.95549,40.68278,339,84.0,14822.0
260755,-74.00908,40.71704,195,102.0,16805.0
409262,-73.98919,40.68561,153,155.0,17549.0
292121,-73.98742,40.76387,260,185.0,12445.0
292800,-74.00225,40.73431,118,29.0,17301.0
294227,-73.95366,40.73778,865,192.0,11096.0
294242,-73.95366,40.73778,865,192.0,11096.0
294259,-73.95366,40.73778,865,192.0,11096.0
294263,-73.95366,40.73778,865,192.0,11096.0
411918,-73.94307,40.67128,286,132.0,21877.0
413504,-73.94461,40.71294,236,56.0,11722.0
416557,-73.94577,40.72292,652,151.0,9978.0
294280,-73.95366,40.73778,865,192.0,11096.0
295998,-73.9694,40.79131,504,74.0,13732.0
296717,-73.95384,40.68907,294,184.0,14961.0
298759,-73.94825,40.68435,667,231.0,15876.0
301034,-73.95481,40.80692,261,60.0,11492.0
263232,-73.94522,40.82176,409,283.0,12446.0
263888,-73.97643,40.79632,994,705.0,14902.0
266449,-73.98877,40.719482,149,138.0,14634.0
266753,-73.98968,40.71941,182,79.0,14517.0
417685,-73.97776,40.66481,279,97.0,17569.0
424767,-73.98303,40.74311,179,127.0,13712.0
425423,-73.82048,40.86637,2467,285.0,17897.0
267652,-73.97293,40.64295,768,322.0,23710.0
268335,-73.95674,40.72136,653,154.0,11888.0
268439,-73.94187,40.70727,193,114.0,11567.0
269283,-73.93229,40.66385,748,8.0,20983.0
269404,-73.91177,40.76716,915,259.0,4340.0
270139,-73.92726,40.70413,586,141.0,11055.0
270231,-73.91167,40.74496,143,619.0,6677.0
270345,-73.99198,40.72499,326,53.0,15359.0
431865,-73.93948379999999,40.8341081,247,102.0,13696.0
302238,-73.94778,40.80752,249,213.0,10739.0
302280,-73.94759,40.8058,301,65.0,11005.0
302309,-73.94742,40.80528,334,49.0,10741.0
302705,-73.95813,40.77298,173,26.0,13639.0
302758,-73.93634,40.79675,502,150.0,9947.0
303264,-73.94575,40.8073,64,59.0,10522.0
305245,-73.94801,40.80557,387,85.0,10808.0
310325,-73.94601,40.82359,387,169.0,12201.0
310338,-73.94433,40.82295,259,219.0,12297.0
432823,-73.97666,40.67634,545,242.0,24910.0
433414,-73.96781,40.68566,349,120.0,14796.0
433914,-73.88109,40.67322,166,221.0,19682.0
437352,-73.98884,40.66902,221,213.0,19014.0
272026,-73.92122,40.8677,121,20.0,17176.0
518566,-73.96119,40.77124,300,63.0,14253.0
519310,-73.91251,40.74506,111,571.0,6812.0
523123,-73.98332,40.6605,422,216.0,28293.0
528485,-73.98913,40.66272,494,260.0,20928.0
530576,-73.97858,40.78105,481,190.0,15766.0
439750,-73.94289,40.71559,216,111.0,10501.0
310524,-73.96058,40.69533,785,186.0,13697.0
314982,-73.98678,40.73216,263,197.0,14614.0
318021,-73.95316,40.80272,417,133.0,11475.0
321136,-73.94466,40.83249,251,154.0,13546.0
322037,-73.9582,40.71923,321,168.0,11857.0
439870,-73.98188,40.66943,534,190.0,17899.0
442636,-73.90295,40.699,505,249.0,17481.0
443646,-73.97225,40.78935,454,122.0,14157.0
447766,-73.98143,40.73958,601,143.0,13662.0
448011,-73.9644,40.68884,277,171.0,14565.0
325429,-73.95106,40.77534,440,101.0,12976.0
332208,-73.95264,40.72617,210,58.0,10932.0
333323,-73.99361,40.76269,921,86.0,15959.0
336055,-73.82023,40.86773,2493,290.0,17972.0
532288,-74.00069,40.73328,142,90.0,17177.0
533506,-73.98193,40.72916,327,99.0,16025.0
536578,-73.91476,40.70209,440,95.0,11302.0
538465,-73.93507,40.86065,2504,2496.0,16863.0
540057,-73.95322,40.82335,190,46.0,12942.0
541725,-73.96010448151357,40.72057081537138,528,95.0,12061.0
542054,-73.98193,40.72916,327,99.0,16025.0
543792,-73.91732,40.70873,897,365.0,10176.0
449660,-73.97453,40.64885,624,135.0,23303.0
450577,-73.97671,40.7769,192,62.0,15213.0
453094,-73.9638332,40.6882557,258,122.0,14540.0
455734,-73.9239,40.86909,477,344.0,17530.0
456190,-74.0058,40.73491,440,57.0,17392.0
342995,-73.94194,40.81319,163,96.0,10703.0
343276,-73.99455,40.75622,623,93.0,14542.0
343766,-73.92029,40.75619,117,1857.0,6622.0
344082,-73.99411,40.75557,530,185.0,14615.0
351859,-73.9917,40.74828,233,115.0,14355.0
352651,-73.95203,40.66,417,126.0,23117.0
353317,-73.99059,40.71481,132,78.0,15226.0
355563,-73.98984,40.68461,249,193.0,17173.0
545261,-73.96681,40.68955,185,77.0,14266.0
545651,-73.95078,40.66051,258,1.0,22948.0
550653,-73.98311,40.66014,466,236.0,18494.0
552502,-73.9573,40.67808,491,168.0,15957.0
552519,-73.94012,40.67382,642,162.0,21593.0
552639,-73.94736,40.81711,125,48.0,11202.0
456578,-73.93941,40.85209,199,170.0,16437.0
463042,-73.99663,40.72371,134,160.0,15460.0
465706,-73.96297,40.79903,495,61.0,12651.0
373618,-73.96005436966747,40.71942398164986,365,154.0,12121.0
385824,-73.91701,40.88095,2070,14.0,19955.0
386744,-73.95842,40.77,160,164.0,13799.0
387666,-73.93836,40.83521,160,53.0,13895.0
466277,-73.94721,40.71116,561,117.0,11661.0
466457,-73.93908,40.68928,1274,80.0,13247.0
467569,-73.98387,40.71937,464,271.0,14525.0
553872,-73.94175,40.82193,508,150.0,12010.0
553903,-73.942474,40.822964,328,68.0,12070.0
560078,-73.97849,40.72369,1131,82.0,15586.0
568661,-73.92071,40.70783,301,300.0,10467.0
467866,-74.00613,40.73054,451,129.0,17000.0
389482,-73.81692,40.71215,672,364.0,10444.0
392948,-73.95269,40.70717,204,88.0,12018.0
394111,-73.81703,40.71044,575,289.0,10408.0
396636,-73.94204,40.82903,171,35.0,13432.0
397034,-73.98357,40.78221,509,150.0,16980.0
569255,-74.01119,40.67911,1887,56.0,37696.0
570797,-73.99225,40.76119,633,146.0,15676.0
571564,-73.94744,40.67432,739,47.0,22217.0
573671,-73.95055,40.68634,597,42.0,15098.0
576227,-73.95408,40.82274,143,157.0,12567.0
578267,-73.99534,40.71271,490,160.0,15505.0
479002,-73.97074,40.68687,373,107.0,14970.0
479285,-73.92056,40.74709,755,747.0,7619.0
483414,-73.94867,40.68476,705,323.0,15393.0
487684,-73.9897,40.68739,183,70.0,16697.0
491123,-73.96623,40.67379,459,348.0,16421.0
643328,-73.96283,40.67677,725,107.0,15739.0
644575,-74.08169,40.63139,836,91.0,24934.0
645075,-73.9910888671875,40.76277923583984,575,202.0,15904.0
645693,-73.91768,40.75608,336,1760.0,6307.0
646458,-73.96749,40.71406,1260,66.0,12621.0
496166,-73.98472,40.66609,534,202.0,18104.0
581488,-73.96277,40.71583,699,139.0,11906.0
582372,-73.92268,40.77266,766,762.0,5051.0
587698,-73.97038,40.60402,318,78.0,26879.0
587740,-74.00416,40.72215,216,146.0,16209.0
590903,-73.94814,40.80682,316,112.0,10725.0
591135,-73.99579,40.72428,180,94.0,15492.0
498052,-73.96085072130779,40.7149363238612,510,29.0,11722.0
499763,-73.98667,40.76448,305,169.0,15110.0
504362,-73.97062,40.67707,200,149.0,16536.0
651375,-73.9961929321289,40.72493743896485,56,42.0,15625.0
651648,-73.96471,40.68178,229,139.0,15095.0
655811,-73.99077,40.71542,252,124.0,15101.0
656281,-73.97959,40.6465,281,111.0,23030.0
658366,-73.9855102558238,40.7334228896557,271,182.0,14415.0
658932,-73.90251,40.69958,598,156.0,17586.0
507393,-73.94865,40.68567,811,216.0,15722.0
597668,-73.93863,40.68278,555,84.0,21159.0
600775,-73.97252,40.67942,327,188.0,16491.0
602070,-73.95114,40.72162,404,72.0,10462.0
512022,-73.98271,40.7211,689,89.0,14641.0
513343,-73.96865,40.67604,279,111.0,16129.0
513688,-73.98074,40.68607,338,116.0,16492.0
514548,-73.92615,40.69775,256,56.0,11840.0
752616,-73.9915,40.7156,315,131.0,15205.0
664047,-73.98732,40.77493,530,7.0,12716.0
666613,-73.96205,40.71084,547,55.0,12568.0
666837,-73.99176,40.71879,266,184.0,14977.0
667502,-73.93822,40.85234,96,67.0,16443.0
669640,-73.97875,40.67646,451,154.0,17813.0
606269,-73.99369,40.76114,724,76.0,15779.0
607781,-73.94576,40.79046,186,50.0,11432.0
611009,-73.97922,40.72586,843,184.0,15479.0
611156,-73.93969,40.82875,483,184.0,13205.0
613528,-73.94723,40.81695,143,67.0,11184.0
753622,-73.98615,40.73171,239,62.0,14543.0
753687,-73.93856346191183,40.68023419130707,246,86.0,21048.0
753991,-73.93604,40.68524,992,88.0,14368.0
754353,-73.92815,40.7588,266,1556.0,5769.0
759901,-73.85532,40.8666,979,169.0,19446.0
675793,-74.00341,40.73523,218,155.0,17355.0
680225,-73.91649,40.71028,982,198.0,10107.0
681599,-74.00387,40.65043,724,108.0,33542.0
