id,walk_subway(m),walk_bus(m),car_airport(m)
804194,63,41.0,11682.0
883480,403,166.0,12572.0
886808,2329,430.0,10497.0
887355,1012,69.0,13219.0
890794,608,1273.0,5079.0
890839,497,164.0,15769.0
805028,314,191.0,17066.0
956412,148,140.0,16432.0
958444,4618,171.0,20504.0
973535,2436,155.0,2209.0
973653,876,155.0,12182.0
975250,253,41.0,12583.0
975990,388,556.0,16476.0
978386,348,1869.0,4991.0
805218,284,85.0,10516.0
808476,656,667.0,14470.0
811238,296,92.0,10928.0
813225,702,150.0,14906.0
896535,217,79.0,14127.0
904060,409,7.0,14694.0
909859,640,131.0,18116.0
918049,194,10.0,15094.0
982038,506,150.0,14890.0
982276,481,46.0,15502.0
983625,347,84.0,10448.0
986727,519,13.0,10837.0
990367,414,162.0,10886.0
814327,961,138.0,13297.0
816888,597,232.0,16838.0
817113,490,81.0,22405.0
818325,700,160.0,13130.0
919830,66,144.0,15572.0
921500,205,122.0,22508.0
927408,240,111.0,14348.0
818481,291,229.0,13828.0
990529,428,6.0,13240.0
993514,450,71.0,14348.0
993575,335,151.0,14530.0
993576,316,199.0,14283.0
1009883,483,191.0,17534.0
1010785,476,1129.0,5332.0
818518,230,72.0,12373.0
819206,433,199.0,12208.0
819228,185,81.0,12353.0
819893,162,74.0,13561.0
819956,782,276.0,20722.0
936218,205,87.0,11175.0
939657,439,145.0,11305.0
940116,228,109.0,33955.0
945297,255,253.0,15798.0
1138727,297,149.0,14444.0
1141120,333,218.0,19725.0
1018529,690,213.0,10465.0
1023529,139,70.0,12452.0
1024647,382,106.0,20330.0
1025786,232,112.0,10756.0
1026683,346,258.0,11221.0
1027808,820,138.0,14890.0
825129,311,214.0,12965.0
826685,593,62.0,21700.0
1380326,306,69.0,13479.0
1144861,317,156.0,16517.0
1146653,193,114.0,13600.0
1150382,477,100.0,9717.0
1150869,305,87.0,13336.0
1151343,255,10.0,11802.0
1155885,862,183.0,20315.0
1157522,251,149.0,11630.0
1030254,697,224.0,18244.0
1035120,2231,319.0,2321.0
1036498,336,1760.0,6307.0
1038802,1314,145.0,9535.0
1040156,107,149.0,14951.0
1042806,1398,293.0,7431.0
1392079,432,124.0,22312.0
1392144,391,48.0,22290.0
1396458,738,4.0,15642.0
1398234,260,94.0,15131.0
1401826,342,243.0,9353.0
1044731,638,64.0,24603.0
1045897,199,33.0,11907.0
1049224,410,66.0,10953.0
1056445,455,122.0,13925.0
1060019,312,30.0,13501.0
1063020,236,75.0,10644.0
1166947,460,82.0,15166.0
1167658,252,121.0,10715.0
1187643,501,105.0,9835.0
1195260,1590,248.0,23066.0
1407633,334,120.0,11367.0
1072481,25,57.0,14858.0
1076324,333,273.0,6860.0
1080543,912,127.0,33705.0
1087215,265,132.0,15137.0
1411811,343,156.0,16693.0
1440363,134,41.0,11281.0
1205103,952,41.0,14488.0
1209921,794,190.0,20812.0
1210916,875,123.0,13876.0
1213745,335,170.0,14940.0
1215122,235,115.0,12653.0
1215627,67,17072.0,16318.0
1220548,772,119.0,9495.0
1453998,195,188.0,16697.0
1098863,887,203.0,17472.0
1100421,236,132.0,16586.0
1101035,130,204.0,16792.0
1101224,1162,156.0,13994.0
1102942,660,58.0,13089.0
